gene,seqnames,start,end,width,strand,gene_id,gene_name,gene_biotype,seq_coord_system,description,gene_id_version,logFC,AveExpr,t,P.Value,adj.P.Val,isSignificant
IL32,16,3065297,3082192,16896,+,ENSG00000008517,IL32,protein_coding,chromosome,interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830],ENSG00000008517.16,-1.2081699519898779,7.160252040132681,-0.7589892902474803,0.22554328506814414,1,FALSE
ARHGAP6,X,11117651,11665920,548270,-,ENSG00000047648,ARHGAP6,protein_coding,chromosome,Rho GTPase activating protein 6 [Source:HGNC Symbol;Acc:HGNC:676],ENSG00000047648.23,1.2551307081184448,2.7637945453923227,0.7586851822746875,0.22563351545443508,1,FALSE
FAM167A,8,11421476,11475908,54433,-,ENSG00000154319,FAM167A,protein_coding,chromosome,family with sequence similarity 167 member A [Source:HGNC Symbol;Acc:HGNC:15549],ENSG00000154319.16,-1.2772402780164838,0.028077897938121953,-0.7565428270903741,0.22626974817848008,1,FALSE
SLC22A4,5,132294394,132344190,49797,+,ENSG00000197208,SLC22A4,protein_coding,chromosome,solute carrier family 22 member 4 [Source:HGNC Symbol;Acc:HGNC:10968],ENSG00000197208.6,1.227513419237983,4.7670954623323905,0.7560771689930377,0.22640813427406684,1,FALSE
WNT16,7,121325367,121341104,15738,+,ENSG00000002745,WNT16,protein_coding,chromosome,Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267],ENSG00000002745.13,-1.2414856463942607,-0.6730626530775143,-0.754429885159614,0.2268982008848781,1,FALSE
CLIC3,9,136994608,136996568,1961,-,ENSG00000169583,CLIC3,protein_coding,chromosome,chloride intracellular channel 3 [Source:HGNC Symbol;Acc:HGNC:2064],ENSG00000169583.13,-1.280535672688564,1.6003174696097457,-0.7540751046260475,0.22700387516755005,1,FALSE
CD52,1,26317958,26320523,2566,+,ENSG00000169442,CD52,protein_coding,chromosome,CD52 molecule [Source:HGNC Symbol;Acc:HGNC:1804],ENSG00000169442.9,-1.1470997899197775,7.514941542534331,-0.7540134524565377,0.22702218460828633,1,FALSE
HGF,7,81699010,81770438,71429,-,ENSG00000019991,HGF,protein_coding,chromosome,hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893],ENSG00000019991.18,1.2080747353875814,3.84770583363204,0.752870952285598,0.22736254557117747,1,FALSE
IGKV2-30,2,89244781,89245596,816,-,ENSG00000243238,IGKV2-30,IG_V_gene,chromosome,immunoglobulin kappa variable 2-30 [Source:HGNC Symbol;Acc:HGNC:5785],ENSG00000243238.1,1.8061079624059904,2.9848195229119825,0.7682854004043991,0.2277091089401675,1,FALSE
HLA-DQB1,6,32659467,32668383,8917,-,ENSG00000179344,HLA-DQB1,protein_coding,chromosome,"major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]",ENSG00000179344.16,-1.2762540671342135,6.241378888862987,-0.7513156985868382,0.22782638269692343,1,FALSE
KCNMA1,10,76869601,77638369,768769,-,ENSG00000156113,KCNMA1,protein_coding,chromosome,potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284],ENSG00000156113.23,1.6499133461510276,0.17181820012993962,0.7557814066478807,0.22810056634429934,1,FALSE
GUCY2C,12,14612632,14696599,83968,-,ENSG00000070019,GUCY2C,protein_coding,chromosome,guanylate cyclase 2C [Source:HGNC Symbol;Acc:HGNC:4688],ENSG00000070019.5,1.248316528909645,1.1214919370740133,0.7480188478586367,0.22881132115844294,1,FALSE
CD163L1,12,7346685,7479897,133213,-,ENSG00000177675,CD163L1,protein_coding,chromosome,CD163 molecule like 1 [Source:HGNC Symbol;Acc:HGNC:30375],ENSG00000177675.8,1.6210795176628108,-1.1991525156899405,0.7501363205682252,0.2294373750926341,1,FALSE
GIMAP7,7,150514872,150521073,6202,+,ENSG00000179144,GIMAP7,protein_coding,chromosome,"GTPase, IMAP family member 7 [Source:HGNC Symbol;Acc:HGNC:22404]",ENSG00000179144.5,-1.1815484517718078,7.078378114359131,-0.745175831913143,0.2296626698803277,1,FALSE
ETV7,6,36354091,36387800,33710,-,ENSG00000010030,ETV7,protein_coding,chromosome,ETS variant transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:18160],ENSG00000010030.14,1.3968825728600631,2.823452979248523,0.743013187547762,0.23033002655440682,1,FALSE
RNF208,9,137220247,137221581,1335,-,ENSG00000212864,RNF208,protein_coding,chromosome,ring finger protein 208 [Source:HGNC Symbol;Acc:HGNC:25420],ENSG00000212864.3,1.3206692991241187,0.6371232588858683,0.7423082053257982,0.23052404029317336,1,FALSE
OAS3,12,112938444,112973251,34808,+,ENSG00000111331,OAS3,protein_coding,chromosome,2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088],ENSG00000111331.13,1.369491258875744,7.8798253206435165,0.7420079707268686,0.23062066898777117,1,FALSE
ZNF248,10,37776526,37858106,81581,-,ENSG00000198105,ZNF248,protein_coding,chromosome,zinc finger protein 248 [Source:HGNC Symbol;Acc:HGNC:13041],ENSG00000198105.14,-1.1212812541753432,2.738336335468937,-0.7363847929537896,0.2323066849155127,1,FALSE
CREB5,7,28299321,28825894,526574,+,ENSG00000146592,CREB5,protein_coding,chromosome,cAMP responsive element binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16844],ENSG00000146592.17,1.1863074944004373,7.893489801611225,0.7353255296557534,0.23262644213397493,1,FALSE
WHRN,9,114402080,114505473,103394,-,ENSG00000095397,WHRN,protein_coding,chromosome,whirlin [Source:HGNC Symbol;Acc:HGNC:16361],ENSG00000095397.15,-1.2331033753945964,-0.1344277768694388,-0.7349122622019947,0.2327512638827585,1,FALSE
COL9A3,20,62816244,62841159,24916,+,ENSG00000092758,COL9A3,protein_coding,chromosome,collagen type IX alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2219],ENSG00000092758.18,1.4414030806289013,2.2523211472247877,0.7349881424999279,0.2328050559302315,1,FALSE
STRADB,2,201387858,201480846,92989,+,ENSG00000082146,STRADB,protein_coding,chromosome,STE20 related adaptor beta [Source:HGNC Symbol;Acc:HGNC:13205],ENSG00000082146.13,-1.3345235706972884,5.8988952730685424,-0.7339618218015047,0.23304045666142997,1,FALSE
LARGE2,11,45921621,45929096,7476,+,ENSG00000165905,LARGE2,protein_coding,chromosome,LARGE xylosyl- and glucuronyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16522],ENSG00000165905.18,-1.197929612113009,1.2080057305345486,-0.7324613616584774,0.23349229902685548,1,FALSE
OR2A20P,7,144250045,144256244,6200,-,ENSG00000170356,OR2A20P,transcribed_unprocessed_pseudogene,chromosome,olfactory receptor family 2 subfamily A member 20 pseudogene [Source:HGNC Symbol;Acc:HGNC:15413],ENSG00000170356.9,-1.3827864374201422,0.73911872754533825,-0.7298787744590489,0.23428987477303795,1,FALSE
TRBV24-1,7,142656701,142657213,513,+,ENSG00000211750,TRBV24-1,TR_V_gene,chromosome,T cell receptor beta variable 24-1 [Source:HGNC Symbol;Acc:HGNC:12203],ENSG00000211750.2,-1.2604606357885517,-0.4265100146811824,-0.7296333945596164,0.23434903393327558,1,FALSE
TMIGD3,1,111483348,111563962,80615,-,ENSG00000121933,TMIGD3,protein_coding,chromosome,transmembrane and immunoglobulin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:51375],ENSG00000121933.19,1.6767862930384434,1.5534622824437279,0.7364573676026526,0.2348651720858414,1,FALSE
TREML4,6,41228339,41238882,10544,+,ENSG00000188056,TREML4,protein_coding,chromosome,triggering receptor expressed on myeloid cells like 4 [Source:HGNC Symbol;Acc:HGNC:30807],ENSG00000188056.12,1.387409376949571,2.3571762125629077,0.7267514248997624,0.23524300203748869,1,FALSE
CBR3,21,36135079,36146562,11484,+,ENSG00000159231,CBR3,protein_coding,chromosome,carbonyl reductase 3 [Source:HGNC Symbol;Acc:HGNC:1549],ENSG00000159231.6,-1.1956179356218206,0.145653659910685,-0.7248284175124252,0.2358087337867989,1,FALSE
PARPBP,12,102120185,102197520,77336,+,ENSG00000185480,PARPBP,protein_coding,chromosome,PARP1 binding protein [Source:HGNC Symbol;Acc:HGNC:26074],ENSG00000185480.11,1.1534233507368663,1.842564739541244,0.7241980972425365,0.2360006026260321,1,FALSE
NSFP1,17,46372855,46487141,114287,+,ENSG00000260075,NSFP1,unprocessed_pseudogene,chromosome,N-ethylmaleimide-sensitive factor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31405],ENSG00000260075.1,1.757964194006655,1.1402471396747866,0.7384627764631669,0.23643375212825732,1,FALSE
GRAP,17,19020673,19047637,26965,-,ENSG00000154016,GRAP,protein_coding,chromosome,GRB2 related adaptor protein [Source:HGNC Symbol;Acc:HGNC:4562],ENSG00000154016.13,-1.1366085026796764,4.294797939716421,-0.7225423770392194,0.23650502297601805,1,FALSE
TMEM267,5,43444252,43483893,39642,-,ENSG00000151881,TMEM267,protein_coding,chromosome,transmembrane protein 267 [Source:HGNC Symbol;Acc:HGNC:26139],ENSG00000151881.14,-1.0993800478484763,2.3673807790558725,-0.7203263738600914,0.23718108815733108,1,FALSE
ZNF542P,19,56368099,56379828,11730,+,ENSG00000240225,ZNF542P,transcribed_unprocessed_pseudogene,chromosome,"zinc finger protein 542, pseudogene [Source:HGNC Symbol;Acc:HGNC:25393]",ENSG00000240225.10,-1.1260649837699703,2.7971064143338578,-0.717250725709621,0.23812122139388572,1,FALSE
AMOT,X,112774503,112840815,66313,-,ENSG00000126016,AMOT,protein_coding,chromosome,angiomotin [Source:HGNC Symbol;Acc:HGNC:17810],ENSG00000126016.15,-1.161415048401728,1.2547572093277106,-0.7152681698207886,0.23872833953628894,1,FALSE
LINC01347,1,243056307,243101744,45438,-,ENSG00000214837,LINC01347,transcribed_unprocessed_pseudogene,chromosome,long intergenic non-protein coding RNA 1347 [Source:HGNC Symbol;Acc:HGNC:50566],ENSG00000214837.8,1.1789222506870978,8.486192967021015,0.7131229913844649,0.23938623650620897,1,FALSE
HTRA3,4,8269754,8307098,37345,+,ENSG00000170801,HTRA3,protein_coding,chromosome,HtrA serine peptidase 3 [Source:HGNC Symbol;Acc:HGNC:30406],ENSG00000170801.10,1.6531012624719725,0.06762488356009978,0.7202832009902825,0.23968176331366298,1,FALSE
HESX1,3,57197838,57227606,29769,-,ENSG00000163666,HESX1,protein_coding,chromosome,HESX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4877],ENSG00000163666.10,1.5065895824482243,-0.6512163883432055,0.7129062750662821,0.23987931071545696,1,FALSE
AC011043.1,GL000195.1,42939,49164,6226,-,ENSG00000276256,AC011043.1,protein_coding,scaffold,uncharacterized LOC389831 [Source:NCBI gene;Acc:389831],ENSG00000276256.1,1.3588135819453435,1.2440944724883896,0.707954613949794,0.24098588381352185,1,FALSE
DOCK4,7,111726110,112206407,480298,-,ENSG00000128512,DOCK4,protein_coding,chromosome,dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192],ENSG00000128512.23,1.203878006057911,4.255142718548276,0.7073800637670933,0.24115251156784792,1,FALSE
LGR6,1,202193901,202319781,125881,+,ENSG00000133067,LGR6,protein_coding,chromosome,leucine rich repeat containing G protein-coupled receptor 6 [Source:HGNC Symbol;Acc:HGNC:19719],ENSG00000133067.17,-1.2114926010858509,1.9090731598328232,-0.7067781511704865,0.24133805448437534,1,FALSE
NDUFV2P1,19,53223973,53224879,907,-,ENSG00000267809,NDUFV2P1,processed_pseudogene,chromosome,NADH:ubiquinone oxidoreductase core subunit V2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7718],ENSG00000267809.1,1.4166001215191684,0.6869463203016385,0.7069414458194173,0.2413559219968033,1,FALSE
TMTC1,12,29500840,29784759,283920,-,ENSG00000133687,TMTC1,protein_coding,chromosome,transmembrane O-mannosyltransferase targeting cadherins 1 [Source:HGNC Symbol;Acc:HGNC:24099],ENSG00000133687.16,1.5643331938823193,3.222702555836729,0.7085529807588588,0.24186682752486438,1,FALSE
RAC1P2,4,46723830,46724408,579,-,ENSG00000249936,RAC1P2,processed_pseudogene,chromosome,Rac family small GTPase 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:31414],ENSG00000249936.3,1.9637971700592192,-1.982976503484297,0.7442672903806983,0.24290757012165953,1,FALSE
ARL14EP,11,30323104,30338223,15120,+,ENSG00000152219,ARL14EP,protein_coding,chromosome,ADP ribosylation factor like GTPase 14 effector protein [Source:HGNC Symbol;Acc:HGNC:26798],ENSG00000152219.5,-1.1155143789253215,4.249890931655346,-0.7004759238394727,0.24328552534868725,1,FALSE
DACH1,13,71437966,71867204,429239,-,ENSG00000276644,DACH1,protein_coding,chromosome,dachshund family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:2663],ENSG00000276644.5,1.3039219303009877,2.8714524054898076,0.7000696277452119,0.24341239335913634,1,FALSE
ZNF677,19,53235381,53254898,19518,-,ENSG00000197928,ZNF677,protein_coding,chromosome,zinc finger protein 677 [Source:HGNC Symbol;Acc:HGNC:28730],ENSG00000197928.10,-1.1230630286662804,1.8469554661915262,-0.6980616010807953,0.24403388853004263,1,FALSE
OSGEPL1,2,189746660,189763227,16568,-,ENSG00000128694,OSGEPL1,protein_coding,chromosome,O-sialoglycoprotein endopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:23075],ENSG00000128694.12,-1.0952420926713184,2.1756958069443306,-0.6960248660561584,0.2446662022883465,1,FALSE
ZNF429,19,21496682,21556270,59589,+,ENSG00000197013,ZNF429,protein_coding,chromosome,zinc finger protein 429 [Source:HGNC Symbol;Acc:HGNC:20817],ENSG00000197013.10,1.2296211741288658,3.9147317516929205,0.6946166336584346,0.24510392882035262,1,FALSE
AL356968.2,1,48435967,48437223,1257,+,ENSG00000235105,AL356968.2,processed_pseudogene,chromosome,"amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 2 (ALS2CR2) pseudogene",ENSG00000235105.1,-1.5241822155699685,-0.75208064859005,-0.6949609483440825,0.2457354923271764,1,FALSE
MEF2B,19,19145567,19192131,46565,-,ENSG00000213999,MEF2B,protein_coding,chromosome,myocyte enhancer factor 2B [Source:HGNC Symbol;Acc:HGNC:6995],ENSG00000213999.17,1.2022398661026852,2.4958683419808314,0.6911284151259002,0.24619003014797972,1,FALSE
DHFR,5,80626226,80654983,28758,-,ENSG00000228716,DHFR,protein_coding,chromosome,dihydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:2861],ENSG00000228716.7,1.124036953180843,5.333099006477432,0.6878464356164613,0.24721433662636333,1,FALSE
MARCO,2,118942166,118994660,52495,+,ENSG00000019169,MARCO,protein_coding,chromosome,macrophage receptor with collagenous structure [Source:HGNC Symbol;Acc:HGNC:6895],ENSG00000019169.10,1.3021040666806263,3.6656161760666777,0.6853834193749266,0.2479859612752041,1,FALSE
MDK,11,46380756,46383837,3082,+,ENSG00000110492,MDK,protein_coding,chromosome,midkine [Source:HGNC Symbol;Acc:HGNC:6972],ENSG00000110492.15,1.2364511506360722,0.6937920839700675,0.6822818180225199,0.24895640701248734,1,FALSE
SPI1,11,47354860,47378576,23717,-,ENSG00000066336,SPI1,protein_coding,chromosome,Spi-1 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:11241],ENSG00000066336.11,1.143170215858163,8.974170678105041,0.6811976811407772,0.24929657127235552,1,FALSE
TRAF1,9,120902393,120929173,26781,-,ENSG00000056558,TRAF1,protein_coding,chromosome,TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031],ENSG00000056558.11,-1.1158906129850044,4.69595147586388,-0.6800584467944565,0.2496543118823617,1,FALSE
ACSL6,5,131949973,132012243,62271,-,ENSG00000164398,ACSL6,protein_coding,chromosome,acyl-CoA synthetase long chain family member 6 [Source:HGNC Symbol;Acc:HGNC:16496],ENSG00000164398.14,-1.1661217786941651,3.180686216475381,-0.6796147646407165,0.24979371202524212,1,FALSE
JUNB,19,12791486,12793315,1830,+,ENSG00000171223,JUNB,protein_coding,chromosome,"JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]",ENSG00000171223.6,1.1514871437184997,7.082850784326571,0.67866051419765006,0.25009367100759705,1,FALSE
LHX4,1,180230264,180278984,48721,+,ENSG00000121454,LHX4,protein_coding,chromosome,LIM homeobox 4 [Source:HGNC Symbol;Acc:HGNC:21734],ENSG00000121454.6,1.389804630433668,0.9068228478612917,0.6773301205611554,0.2505696453831087,1,FALSE
TMEM8B,9,35814451,35865518,51068,+,ENSG00000137103,TMEM8B,protein_coding,chromosome,transmembrane protein 8B [Source:HGNC Symbol;Acc:HGNC:21427],ENSG00000137103.20,-1.1156659748179696,1.2728383158954009,-0.6771161980280918,0.2505795268255064,1,FALSE
MSRB3,12,65278643,65491430,212788,+,ENSG00000174099,MSRB3,protein_coding,chromosome,methionine sulfoxide reductase B3 [Source:HGNC Symbol;Acc:HGNC:27375],ENSG00000174099.11,1.1776848740548558,3.535572194068171,0.6743892985427027,0.25143868697984495,1,FALSE
FAM47E-STBD1,4,76251721,76311129,59409,+,ENSG00000272414,FAM47E-STBD1,protein_coding,chromosome,FAM47E-STBD1 readthrough [Source:HGNC Symbol;Acc:HGNC:44667],ENSG00000272414.6,1.2448546321023655,2.9125910232179244,0.6731230347582883,0.2518382318625513,1,FALSE
BASP1,5,17065598,17276843,211246,+,ENSG00000176788,BASP1,protein_coding,chromosome,brain abundant membrane attached signal protein 1 [Source:HGNC Symbol;Acc:HGNC:957],ENSG00000176788.9,1.2052824830125077,8.225413642314244,0.6725309232733799,0.2520251184719271,1,FALSE
ZNF461,19,36636618,36666853,30236,-,ENSG00000197808,ZNF461,protein_coding,chromosome,zinc finger protein 461 [Source:HGNC Symbol;Acc:HGNC:21629],ENSG00000197808.12,-1.110344105828797,1.4657563882258549,-0.6699485991997729,0.252841227727014,1,FALSE
HABP4,9,96450169,96491336,41168,+,ENSG00000130956,HABP4,protein_coding,chromosome,hyaluronan binding protein 4 [Source:HGNC Symbol;Acc:HGNC:17062],ENSG00000130956.14,-1.123028460562733,2.8530108817045483,-0.6685960339803995,0.2532692581204121,1,FALSE
DLL1,6,170282206,170306565,24360,-,ENSG00000198719,DLL1,protein_coding,chromosome,delta like canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2908],ENSG00000198719.9,-1.242299108610683,-0.28951294325720506,-0.6685654294177112,0.2532789872104156,1,FALSE
ZNF781,19,37667751,37692315,24565,-,ENSG00000196381,ZNF781,protein_coding,chromosome,zinc finger protein 781 [Source:HGNC Symbol;Acc:HGNC:26745],ENSG00000196381.11,-1.1329339523773923,-0.053054511220603416,-0.6683094907074829,0.2533599873152745,1,FALSE
ROPN1L,5,10441524,10472029,30506,+,ENSG00000145491,ROPN1L,protein_coding,chromosome,rhophilin associated tail protein 1 like [Source:HGNC Symbol;Acc:HGNC:24060],ENSG00000145491.12,1.2546790596705382,2.850332429034649,0.6675838951964148,0.25358992457967516,1,FALSE
FLT1,13,28300346,28495145,194800,-,ENSG00000102755,FLT1,protein_coding,chromosome,fms related tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:3763],ENSG00000102755.12,1.1583489458368548,2.008262420701904,0.6666816043472257,0.2538757635742181,1,FALSE
EEF1G,11,62559596,62574086,14491,-,ENSG00000254772,EEF1G,protein_coding,chromosome,eukaryotic translation elongation factor 1 gamma [Source:HGNC Symbol;Acc:HGNC:3213],ENSG00000254772.10,-1.099836934237434,9.865797682450177,-0.6650778825542092,0.25438443670803224,1,FALSE
AC068724.5,15,43179793,43206481,26689,-,ENSG00000285117,AC068724.5,lncRNA,chromosome,novel transcript,ENSG00000285117.1,-1.3254436817631738,0.6257180725349831,-0.6639774299935409,0.25474138743676183,1,FALSE
RTKN2,10,62183035,62268844,85810,-,ENSG00000182010,RTKN2,protein_coding,chromosome,rhotekin 2 [Source:HGNC Symbol;Acc:HGNC:19364],ENSG00000182010.11,-1.1823003148629194,2.462223409523476,-0.6637000152903475,0.2548219106217121,1,FALSE
TNNT1,19,55132698,55149206,16509,-,ENSG00000105048,TNNT1,protein_coding,chromosome,"troponin T1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11948]",ENSG00000105048.17,1.506829062249723,1.8465046607092266,0.6653362664277818,0.2551745238394842,1,FALSE
SYNPO,5,150601080,150659207,58128,+,ENSG00000171992,SYNPO,protein_coding,chromosome,synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672],ENSG00000171992.13,-1.1355874482734263,1.8064830428617593,-0.6620040229361248,0.25536094438966533,1,FALSE
CASS4,20,56412112,56460387,48276,+,ENSG00000087589,CASS4,protein_coding,chromosome,Cas scaffold protein family member 4 [Source:HGNC Symbol;Acc:HGNC:15878],ENSG00000087589.16,-1.1708882399011156,4.642133876540173,-0.6619381926929796,0.2553818794289029,1,FALSE
DDR2,1,162631373,162787405,156033,+,ENSG00000162733,DDR2,protein_coding,chromosome,discoidin domain receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:2731],ENSG00000162733.19,1.2833736192506804,0.38987963087702765,0.6612637622883757,0.25559735412211043,1,FALSE
H2BC9,6,26251651,26253710,2060,+,ENSG00000275713,H2BC9,protein_coding,chromosome,H2B clustered histone 9 [Source:HGNC Symbol;Acc:HGNC:4755],ENSG00000275713.2,1.2648542944462375,1.0680444654942418,0.6608572123712996,0.25572606877554444,1,FALSE
ITGB5,3,124761948,124901418,139471,-,ENSG00000082781,ITGB5,protein_coding,chromosome,integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160],ENSG00000082781.12,1.2352836527689313,4.269459158365969,0.6565414978640217,0.25710127374991293,1,FALSE
RANBP6,9,6011025,6015625,4601,-,ENSG00000137040,RANBP6,protein_coding,chromosome,RAN binding protein 6 [Source:HGNC Symbol;Acc:HGNC:9851],ENSG00000137040.10,-1.0752722209925305,4.048057637394014,-0.6543150803063932,0.2578123652011779,1,FALSE
EIF3L,22,37848868,37889407,40540,+,ENSG00000100129,EIF3L,protein_coding,chromosome,eukaryotic translation initiation factor 3 subunit L [Source:HGNC Symbol;Acc:HGNC:18138],ENSG00000100129.18,-1.0981979897683578,7.8340634339890975,-0.6537533054480829,0.2579919632611032,1,FALSE
FCRL5,1,157513377,157552515,39139,-,ENSG00000143297,FCRL5,protein_coding,chromosome,Fc receptor like 5 [Source:HGNC Symbol;Acc:HGNC:18508],ENSG00000143297.19,1.1986922544345577,4.795217654154392,0.6537279135925989,0.2580000833140172,1,FALSE
OSBPL6,2,178194481,178402893,208413,+,ENSG00000079156,OSBPL6,protein_coding,chromosome,oxysterol binding protein like 6 [Source:HGNC Symbol;Acc:HGNC:16388],ENSG00000079156.17,1.2257603308029317,-0.09642832764877315,0.6520233605766278,0.2585454569284959,1,FALSE
PTGDR,14,52267698,52276724,9027,+,ENSG00000168229,PTGDR,protein_coding,chromosome,prostaglandin D2 receptor [Source:HGNC Symbol;Acc:HGNC:9591],ENSG00000168229.4,-1.166993018872787,2.4878069090685546,-0.6518258598620013,0.2586086693881951,1,FALSE
PLEKHG5,1,6466092,6520061,53970,-,ENSG00000171680,PLEKHG5,protein_coding,chromosome,pleckstrin homology and RhoGEF domain containing G5 [Source:HGNC Symbol;Acc:HGNC:29105],ENSG00000171680.22,-1.1881995153956542,-0.3447165481865838,-0.6506040178309204,0.2590000163200748,1,FALSE
DUSP14,17,37489891,37513501,23611,+,ENSG00000276023,DUSP14,protein_coding,chromosome,dual specificity phosphatase 14 [Source:HGNC Symbol;Acc:HGNC:17007],ENSG00000276023.5,-1.1218577580113454,1.300928073371776,-0.6505462051474389,0.2590185408581385,1,FALSE
CD244,1,160830160,160862887,32728,-,ENSG00000122223,CD244,protein_coding,chromosome,CD244 molecule [Source:HGNC Symbol;Acc:HGNC:18171],ENSG00000122223.13,-1.1278472244611741,4.709856935288265,-0.6495452537316675,0.25933938450412314,1,FALSE
SLC37A3,7,140293693,140404433,110741,-,ENSG00000157800,SLC37A3,protein_coding,chromosome,solute carrier family 37 member 3 [Source:HGNC Symbol;Acc:HGNC:20651],ENSG00000157800.18,1.1685214412188012,5.3067450460028365,0.6494599768580996,0.25936672880070455,1,FALSE
PSAT1,9,78297125,78330093,32969,+,ENSG00000135069,PSAT1,protein_coding,chromosome,phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129],ENSG00000135069.14,1.171267665927541,3.4402363101352194,0.6457017455902716,0.26057333508650027,1,FALSE
NRP2,2,205681990,205798133,116144,+,ENSG00000118257,NRP2,protein_coding,chromosome,neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005],ENSG00000118257.16,-1.1521456490945274,-0.2015619461570095,-0.6440810848633453,0.2610945742018144,1,FALSE
CRACR2B,11,826144,831991,5848,+,ENSG00000177685,CRACR2B,protein_coding,chromosome,calcium release activated channel regulator 2B [Source:HGNC Symbol;Acc:HGNC:28703],ENSG00000177685.17,1.3051313965030558,1.5841254198601762,0.644019846366953,0.2611192395717507,1,FALSE
FAM83D,20,38926312,38953106,26795,+,ENSG00000101447,FAM83D,protein_coding,chromosome,family with sequence similarity 83 member D [Source:HGNC Symbol;Acc:HGNC:16122],ENSG00000101447.15,1.1987235139208885,0.9173343584137533,0.6436478750946703,0.26123399809997466,1,FALSE
ANPEP,15,89784895,89815401,30507,-,ENSG00000166825,ANPEP,protein_coding,chromosome,"alanyl aminopeptidase, membrane [Source:HGNC Symbol;Acc:HGNC:500]",ENSG00000166825.14,1.139530321482324,9.018924782633484,0.6430996299946697,0.2614104985575164,1,FALSE
ODF3B,22,50529710,50532580,2871,-,ENSG00000177989,ODF3B,protein_coding,chromosome,outer dense fiber of sperm tails 3B [Source:HGNC Symbol;Acc:HGNC:34388],ENSG00000177989.13,1.1952768294309082,4.5901323002709695,0.6398400676553875,0.2624611781618506,1,FALSE
BEX5,X,102153708,102155977,2270,-,ENSG00000184515,BEX5,protein_coding,chromosome,brain expressed X-linked 5 [Source:HGNC Symbol;Acc:HGNC:27990],ENSG00000184515.11,-1.1651917202723607,-0.4492638478568022,-0.6393830781104486,0.2626086594218486,1,FALSE
CABLES1,18,23134564,23260467,125904,+,ENSG00000134508,CABLES1,protein_coding,chromosome,Cdk5 and Abl enzyme substrate 1 [Source:HGNC Symbol;Acc:HGNC:25097],ENSG00000134508.12,1.1829469402890216,0.38733232539609824,0.6373812328954404,0.2632552190044964,1,FALSE
TRGV9,7,38317017,38318861,1845,-,ENSG00000211695,TRGV9,TR_V_gene,chromosome,T cell receptor gamma variable 9 [Source:HGNC Symbol;Acc:HGNC:12295],ENSG00000211695.2,-1.2031558123080055,-0.9125181102273904,-0.6349361137670848,0.26404608217301834,1,FALSE
GOLGA8A,15,34379068,34437466,58399,-,ENSG00000175265,GOLGA8A,protein_coding,chromosome,golgin A8 family member A [Source:HGNC Symbol;Acc:HGNC:31972],ENSG00000175265.17,-1.1524758175860201,4.813951925229859,-0.6344974789224606,0.26418808484603473,1,FALSE
NATD1,17,21238870,21253410,14541,-,ENSG00000274180,NATD1,protein_coding,chromosome,N-acetyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30770],ENSG00000274180.1,1.1694727867737837,6.696325523961152,0.6340185353367194,0.2643431857452176,1,FALSE
PRR5L,11,36296288,36465204,168917,+,ENSG00000135362,PRR5L,protein_coding,chromosome,proline rich 5 like [Source:HGNC Symbol;Acc:HGNC:25878],ENSG00000135362.14,-1.1411802958241486,4.390840752515636,-0.6318019075117176,0.26506163722806503,1,FALSE
